Job_Title,Years_of_Experience,Education_Level,Location,Industry,Salary_INR
Software Engineer,2,Bachelor,Bangalore,IT,800000
Senior Software Engineer,5,Bachelor,Bangalore,IT,1500000
Data Scientist,3,Master,Bangalore,IT,1200000
Product Manager,6,MBA,Mumbai,IT,2000000
Frontend Developer,1,Bachelor,Pune,IT,600000
Backend Developer,4,Bachelor,Hyderabad,IT,1100000
DevOps Engineer,3,Bachelor,Bangalore,IT,1000000
Full Stack Developer,5,Bachelor,Bangalore,IT,1400000
UI/UX Designer,3,Bachelor,Mumbai,IT,900000
Business Analyst,4,Master,Delhi,Consulting,1000000
Financial Analyst,3,Bachelor,Mumbai,Finance,850000
Marketing Manager,7,MBA,Mumbai,Marketing,1800000
HR Manager,5,Master,Delhi,HR,1200000
Sales Manager,6,Bachelor,Delhi,Sales,1400000
Content Writer,2,Bachelor,Bangalore,Marketing,500000
Graphic Designer,3,Bachelor,Mumbai,Design,650000
Accountant,4,Bachelor,Delhi,Finance,700000
Operations Manager,8,MBA,Mumbai,Operations,1900000
Project Manager,6,Master,Bangalore,IT,1600000
Data Analyst,2,Bachelor,Bangalore,IT,750000
Machine Learning Engineer,4,Master,Bangalore,IT,1600000
Cloud Architect,7,Master,Bangalore,IT,2200000
Cybersecurity Analyst,5,Master,Hyderabad,IT,1400000
Network Engineer,4,Bachelor,Pune,IT,950000
Database Administrator,5,Bachelor,Bangalore,IT,1100000
QA Engineer,3,Bachelor,Pune,IT,800000
Technical Writer,2,Bachelor,Bangalore,IT,600000
Scrum Master,5,Bachelor,Bangalore,IT,1300000
AI Engineer,4,Master,Bangalore,IT,1700000
Business Development Manager,6,MBA,Mumbai,Sales,1600000
Digital Marketing Manager,4,Bachelor,Bangalore,Marketing,1100000
SEO Specialist,3,Bachelor,Delhi,Marketing,700000
Social Media Manager,2,Bachelor,Mumbai,Marketing,600000
Customer Success Manager,4,Bachelor,Bangalore,IT,950000
Supply Chain Manager,7,MBA,Mumbai,Operations,1700000
Procurement Manager,6,Bachelor,Delhi,Operations,1300000
Manufacturing Engineer,5,Bachelor,Pune,Manufacturing,1000000
Civil Engineer,4,Bachelor,Mumbai,Construction,800000
Mechanical Engineer,3,Bachelor,Pune,Manufacturing,700000
Electrical Engineer,5,Bachelor,Bangalore,Manufacturing,900000
Chemical Engineer,4,Bachelor,Mumbai,Manufacturing,850000
Architect,6,Master,Delhi,Construction,1200000
Interior Designer,3,Bachelor,Mumbai,Design,650000
Chartered Accountant,5,CA,Mumbai,Finance,1400000
Tax Consultant,6,CA,Delhi,Finance,1300000
Legal Advisor,5,LLB,Mumbai,Legal,1100000
Lawyer,7,LLB,Delhi,Legal,1500000
Doctor,8,MBBS,Mumbai,Healthcare,1800000
Surgeon,12,MD,Mumbai,Healthcare,3000000
Nurse,3,Diploma,Delhi,Healthcare,400000
Pharmacist,4,BPharm,Bangalore,Healthcare,600000
Medical Representative,2,Bachelor,Mumbai,Pharmaceuticals,500000
Research Scientist,6,PhD,Bangalore,Research,1400000
Professor,10,PhD,Delhi,Education,1200000
Teacher,5,Master,Mumbai,Education,600000
Principal,15,Master,Delhi,Education,1000000
Lecturer,4,Master,Bangalore,Education,550000
Software Engineer,1,Bachelor,Hyderabad,IT,650000
Senior Software Engineer,7,Master,Bangalore,IT,1800000
Data Scientist,5,PhD,Bangalore,IT,2000000
Product Manager,8,MBA,Mumbai,IT,2500000
Frontend Developer,3,Bachelor,Pune,IT,850000
Backend Developer,6,Master,Hyderabad,IT,1500000
DevOps Engineer,5,Bachelor,Bangalore,IT,1300000
Full Stack Developer,4,Bachelor,Bangalore,IT,1200000
UI/UX Designer,5,Master,Mumbai,IT,1200000
Business Analyst,6,MBA,Delhi,Consulting,1500000
Financial Analyst,5,Master,Mumbai,Finance,1200000
Marketing Manager,8,MBA,Mumbai,Marketing,2000000
HR Manager,7,Master,Delhi,HR,1500000
Sales Manager,8,MBA,Delhi,Sales,1800000
Content Writer,4,Master,Bangalore,Marketing,700000
Graphic Designer,5,Bachelor,Mumbai,Design,850000
Accountant,6,CA,Delhi,Finance,1100000
Operations Manager,10,MBA,Mumbai,Operations,2200000
Project Manager,8,Master,Bangalore,IT,2000000
Data Analyst,4,Master,Bangalore,IT,1100000
Machine Learning Engineer,6,PhD,Bangalore,IT,2200000
Cloud Architect,9,Master,Bangalore,IT,2600000
Cybersecurity Analyst,7,Master,Hyderabad,IT,1800000
Network Engineer,6,Bachelor,Pune,IT,1200000
Database Administrator,7,Master,Bangalore,IT,1500000
QA Engineer,5,Bachelor,Pune,IT,1000000
Technical Writer,4,Bachelor,Bangalore,IT,750000
Scrum Master,7,Master,Bangalore,IT,1600000
AI Engineer,6,PhD,Bangalore,IT,2300000
Business Development Manager,8,MBA,Mumbai,Sales,2000000
Digital Marketing Manager,6,Master,Bangalore,Marketing,1400000
SEO Specialist,5,Bachelor,Delhi,Marketing,900000
Social Media Manager,4,Bachelor,Mumbai,Marketing,800000
Customer Success Manager,6,Master,Bangalore,IT,1300000
Supply Chain Manager,9,MBA,Mumbai,Operations,2000000
Procurement Manager,8,Bachelor,Delhi,Operations,1600000
Manufacturing Engineer,7,Master,Pune,Manufacturing,1400000
Civil Engineer,6,Master,Mumbai,Construction,1200000
Mechanical Engineer,5,Bachelor,Pune,Manufacturing,950000
Electrical Engineer,7,Master,Bangalore,Manufacturing,1300000
Chemical Engineer,6,Master,Mumbai,Manufacturing,1200000
Architect,8,Master,Delhi,Construction,1600000
Interior Designer,5,Bachelor,Mumbai,Design,850000
Chartered Accountant,7,CA,Mumbai,Finance,1800000
Tax Consultant,8,CA,Delhi,Finance,1700000
Legal Advisor,7,LLB,Mumbai,Legal,1500000
Lawyer,9,LLB,Delhi,Legal,1900000
Doctor,10,MD,Mumbai,Healthcare,2500000
Surgeon,15,MD,Mumbai,Healthcare,4000000
Nurse,5,BSc,Delhi,Healthcare,550000
Pharmacist,6,MPharm,Bangalore,Healthcare,800000
Medical Representative,4,Bachelor,Mumbai,Pharmaceuticals,700000
Research Scientist,8,PhD,Bangalore,Research,1800000
Professor,12,PhD,Delhi,Education,1500000
Teacher,7,Master,Mumbai,Education,750000
Principal,18,PhD,Delhi,Education,1400000
Lecturer,6,Master,Bangalore,Education,700000
Software Engineer,3,Bachelor,Chennai,IT,950000
Senior Software Engineer,6,Bachelor,Chennai,IT,1600000
Data Scientist,4,Master,Delhi,IT,1400000
Product Manager,5,MBA,Bangalore,IT,1800000
Frontend Developer,2,Bachelor,Bangalore,IT,750000
Backend Developer,5,Bachelor,Pune,IT,1200000
DevOps Engineer,4,Bachelor,Hyderabad,IT,1150000
Full Stack Developer,6,Master,Bangalore,IT,1600000
UI/UX Designer,4,Bachelor,Pune,IT,1000000
Business Analyst,5,Master,Mumbai,Consulting,1300000
